venue,event_id,location,region,gender,rank,name,nationality,age_group,finish_time,finish_seconds
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,1,"Johnson, Alex",USA,25-29,01:01:39,3699
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,10,"Haddad, Michael",USA,30-34,01:05:18,3918
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,100,"Laccinole, Matt",USA,50-54,01:13:23,4403
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,11,"Garcia, Michael",USA,35-39,01:05:23,3923
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,12,"Merrill, Nick",USA,45-49,01:05:44,3944
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,13,"Beniquez, Jerred",USA,30-34,01:05:45,3945
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,14,"Trejo, Christian",USA,30-34,01:06:08,3968
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,15,"Korat, Eduard",USA,55-59,01:06:17,3977
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,16,"Carvajal, Oscar",MEX,25-29,01:06:19,3979
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,17,"Marez, Nathan",USA,25-29,01:06:20,3980
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,18,"Needham, Dustin",USA,40-44,01:06:27,3987
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,19,"Edwards, Brad",NZL,35-39,01:06:45,4005
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,2,"Johnson, Alex",USA,25-29,01:02:15,3735
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,20,"Grime, Noah",USA,35-39,01:06:46,4006
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,21,"Belza, Justin",USA,35-39,01:06:54,4014
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,22,"Gutierrez, Daniel",USA,25-29,01:06:59,4019
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,23,"Hughes, Connor",USA,30-34,01:07:07,4027
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,24,"Birch, Jack",GBR,30-34,01:07:21,4041
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,25,"Olea, Jose Rene",MEX,16-24,01:07:21,4041
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,26,"Briercheck, Timothy",USA,30-34,01:07:32,4052
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,27,"Tacy, Zachary",USA,25-29,01:07:36,4056
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,28,"Salter, Steven",USA,30-34,01:07:42,4062
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,29,"Young, Zach",USA,35-39,01:07:47,4067
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,3,"Martinsky, Dave",USA,30-34,01:02:59,3779
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,30,"Wang, Benson",USA,35-39,01:07:51,4071
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,31,"Kostbar, Eben",USA,45-49,01:07:56,4076
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,32,"Theriault, Braeden",CAN,25-29,01:07:57,4077
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,33,"Platt, Jack",USA,16-24,01:07:58,4078
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,34,"Frazier, Rich",USA,40-44,01:08:00,4080
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,35,"Afanador, Jonathan",USA,30-34,01:08:01,4081
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,36,"Korby, Adam",USA,35-39,01:08:31,4111
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,37,"Nash, David",AUS,30-34,01:08:36,4116
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,38,"Hendrix, Tanner",USA,25-29,01:08:37,4117
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,39,"Hunter Iv, James",USA,25-29,01:08:40,4120
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,4,"Valdivia, Angel",USA,30-34,01:03:17,3797
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,40,"O'Hern, Tommy",USA,30-34,01:08:44,4124
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,41,"Vogelgesang, John",USA,35-39,01:08:44,4124
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,42,"Dixon, Paul",GBR,40-44,01:09:05,4145
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,43,"Demps, Ditanyon",USA,45-49,01:09:05,4145
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,44,"Moy, Kevin",USA,30-34,01:09:12,4152
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,45,"Romero, Joshua",USA,25-29,01:09:13,4153
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,46,"Al-Chamaa, Joshua",GBR,30-34,01:09:14,4154
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,47,"Delbianco, Brandon",USA,30-34,01:09:15,4155
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,48,"Warfield, Lucas",USA,16-24,01:09:20,4160
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,49,"King, Brendan",USA,35-39,01:09:26,4166
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,5,"Arroyo, Robbie",USA,40-44,01:03:54,3834
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,50,"Freeman, John",USA,35-39,01:09:29,4169
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,51,"Starkey, Cory",USA,30-34,01:09:35,4175
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,52,"Johnson, Kevin",USA,40-44,01:09:44,4184
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,53,"Elleithy, Mohamed",EGY,30-34,01:09:50,4190
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,54,"König, Bruno",GER,16-24,01:10:08,4208
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,55,"Lee, Jon",USA,35-39,01:10:11,4211
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,56,"Denton, Drew",USA,30-34,01:10:15,4215
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,57,"Contreras, Jesus",USA,30-34,01:10:15,4215
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,58,"Maurey, Ben",USA,30-34,01:10:19,4219
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,59,"Libardoni, Eric",USA,35-39,01:10:23,4223
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,6,"O'Callaghan, Sean",IRL,25-29,01:03:54,3834
