athlete_name,nationality,venue_a,run_time_a,venue_b,run_time_b,observed_diff_seconds,observed_diff_pct,expected_diff_pct,delta_pct,validates
"El Tantawi, Ahmed",N/A,Gent 2025,1:02:16,Paris 2025,1:04:21,125,3.3%,3.5%,-0.1%,Yes
"Van Lierop, Stijn",N/A,Gent 2025,1:08:26,Maastricht 2025,1:11:23,177,4.3%,4.5%,-0.2%,Yes
"Hofenboom, Ronny",N/A,Gent 2025,1:17:27,Maastricht 2025,1:21:06,219,4.7%,4.5%,0.2%,Yes
"Van Den Bosch, Ester",N/A,Gent 2025,1:31:25,Maastricht 2025,1:35:40,255,4.6%,4.5%,0.2%,Yes
"Heuzard, Nicolas",N/A,Maastricht 2025,1:10:50,Paris 2025,1:09:59,-51,-1.2%,-1.0%,-0.2%,Yes
"Florentina, Raylie",N/A,Gent 2025,1:10:41,Utrecht 2025,1:15:20,279,6.6%,6.9%,-0.3%,Yes
"Voisin, Joffrey",N/A,London Excel 2025,56:22,Paris 2025,1:03:23,421,12.4%,12.2%,0.3%,Yes
"Cseh-Szombathy, Jonathan",N/A,Gent 2025,1:15:37,Utrecht 2025,1:21:14,337,7.4%,6.9%,0.5%,Yes
"Fenne, Alma",N/A,Maastricht 2025,1:14:14,Utrecht 2025,1:15:25,71,1.6%,2.4%,-0.8%,Yes
"Pollen, Marc",N/A,Maastricht 2025,1:16:45,Utrecht 2025,1:18:02,77,1.7%,2.4%,-0.8%,Yes
"Verweij, Sophie",N/A,Hamburg 2025,1:11:05,Utrecht 2025,1:15:09,244,5.7%,4.8%,0.9%,Yes
"Pavis, Louis",N/A,Maastricht 2025,1:04:18,Paris 2025,1:03:03,-75,-1.9%,-1.0%,-0.9%,Yes
"Van Dieen, Esti",N/A,Maastricht 2025,1:13:41,Utrecht 2025,1:16:09,148,3.3%,2.4%,0.9%,Yes
"Parkin, David",N/A,London Excel 2025,56:52,Maastricht 2025,1:03:43,411,12.0%,13.2%,-1.1%,Yes
"Geilvoet, Merel",N/A,Maastricht 2025,1:23:51,Utrecht 2025,1:25:00,69,1.4%,2.4%,-1.1%,Yes
"Huy, Luise",N/A,Hamburg 2025,1:16:48,Maastricht 2025,1:19:33,165,3.6%,2.4%,1.2%,Yes
"Halliday, Graham",N/A,Hamburg 2025,57:30,Maastricht 2025,57:58,28,0.8%,2.4%,-1.5%,Yes
"Pulley, Chris",N/A,London Excel 2025,1:15:56,Maastricht 2025,1:24:48,532,11.7%,13.2%,-1.5%,Yes
"Mulder, Dario",N/A,Gent 2025,1:02:34,Utrecht 2025,1:07:57,323,8.6%,6.9%,1.7%,Yes
"Manikam Ngaji, Laurencine",N/A,Gent 2025,1:16:09,Maastricht 2025,1:20:50,281,6.2%,4.5%,1.7%,Yes
"Martinet, Vincent",N/A,Hamburg 2025,1:07:01,Paris 2025,1:09:06,125,3.1%,1.4%,1.8%,Yes
"Deghorain, Antoine",N/A,Gent 2025,1:01:10,Maastricht 2025,1:05:09,239,6.5%,4.5%,2.0%,Yes
"De Groot, Frank",N/A,Maastricht 2025,1:34:56,Utrecht 2025,1:35:22,26,0.5%,2.4%,-2.0%,Yes
"Walther, Marlou",N/A,Hamburg 2025,1:10:57,Maastricht 2025,1:14:06,189,4.4%,2.4%,2.1%,Yes
