venue,gender,median_time,mean_time,std_time,count,correction_seconds,correction_minutes
2025 Beijing,M,5428.0,5407.0286885245905,753.2654967795884,244,384.0,6.4
2025 Beijing,W,5688.0,5701.6349206349205,709.734447276441,126,211.0,3.5166666666666666
2025 Boston,M,5125.0,5117.0615384615385,633.4080922083543,585,81.0,1.35
2025 Boston,W,5462.0,5502.160852713178,660.9368015397308,516,-15.0,-0.25
2025 Cape Town,M,5473.0,5465.386581469648,783.6282564497949,313,429.0,7.15
2025 Cape Town,W,5769.0,5793.191860465116,799.6603104425676,172,292.0,4.866666666666666
2025 Delhi,M,6548.0,6546.147887323944,942.8256638790742,284,1504.0,25.066666666666666
2025 Delhi,W,7363.5,7184.266666666666,952.0143493395021,90,1886.5,31.441666666666666
2025 Hong Kong,M,5588.0,5619.437894736842,766.0645566073841,475,544.0,9.066666666666666
2025 Hong Kong,W,5993.5,5984.3,718.1002052532001,210,516.5,8.608333333333333
2025 Madrid,M,5032.5,5139.211745689655,909.9004014639959,1856,-11.5,-0.19166666666666668
2025 Madrid,W,5397.0,5399.134579439253,569.4398691925195,535,-80.0,-1.3333333333333333
2025 Mexico City,M,5837.0,5833.716564417178,771.017880402091,815,793.0,13.216666666666667
2025 Mexico City,W,6195.0,6178.278911564626,722.7333606994364,441,718.0,11.966666666666667
2025 Perth,M,4869.0,4893.137426900585,579.6065318745115,342,-175.0,-2.9166666666666665
2025 Perth,W,5447.0,5416.197324414716,623.5188553250334,299,-30.0,-0.5
2025 Singapore,M,6018.0,5988.578811369509,936.0684998130091,774,974.0,16.233333333333334
2025 Singapore,W,5928.0,5938.681672025724,787.1411716756222,311,451.0,7.516666666666667
2025 Sydney,M,4728.0,4726.0157480314965,536.1386948048686,635,,
2025 Yokohama,M,5437.0,5430.797202797203,707.3263626434356,286,393.0,6.55
2025 Yokohama,W,5622.5,5620.024590163935,664.8287726256945,122,145.5,2.425
Anaheim 2025,M,5146.5,5109.978,501.3573622883402,1000,102.5,1.7083333333333333
Anaheim 2025,W,5786.0,5730.874,701.2857547632294,1000,309.0,5.15
Atlanta 2025,M,5221.5,5229.716,679.97624593734,1000,177.5,2.9583333333333335
Atlanta 2025,W,5629.0,5624.7612403100775,702.444314044796,645,152.0,2.533333333333333
Bordeaux 2025,M,4323.0,4273.867,267.58864137326833,1000,-721.0,-12.016666666666667
Bordeaux 2025,W,5377.0,5351.572,531.0670551192495,1000,-100.0,-1.6666666666666667
Chicago 2025,M,5044.0,5005.626,502.7702557372036,1000,0.0,0.0
Chicago 2025,W,5477.0,5526.123,727.4578880250409,1000,0.0,0.0
Dublin 2025,M,4335.5,4298.927,323.6803154620584,1000,-708.5,-11.808333333333334
Dublin 2025,W,5238.0,5224.896,582.30420689995,1000,-239.0,-3.9833333333333334
Frankfurt 2025,M,4715.5,4652.459,392.40270412065126,1000,-328.5,-5.475
Frankfurt 2025,W,5473.0,5574.128,763.7590939357585,1000,-4.0,-0.06666666666666667
London Excel 2025,M,4046.0,4003.153,214.17454173016264,1000,-998.0,-16.633333333333333
London Excel 2025,W,4739.0,4694.495,309.5696324453246,1000,-738.0,-12.3
Maastricht 2025,M,4800.0,4750.948,413.14473961539653,1000,-244.0,-4.066666666666666
Maastricht 2025,W,5526.0,5510.042666666666,621.5349497584588,750,49.0,0.8166666666666667
Utrecht 2025,M,4820.0,4769.085,395.62935224697065,1000,-224.0,-3.7333333333333334
Utrecht 2025,W,5565.0,5556.899713467049,634.5109878153859,698,88.0,1.4666666666666666
Valencia 2025,M,4671.5,4654.837,441.03171473761824,1000,-372.5,-6.208333333333333
Valencia 2025,W,5390.0,5409.916666666667,640.0837188295882,564,-87.0,-1.45
