venue,gender,median_time,mean_time,std_time,count,correction_seconds,correction_minutes
Anaheim 2025,M,5146.5,5109.978,501.3573622883402,1000,346.5,5.775
Anaheim 2025,W,5786.0,5730.874,701.2857547632294,1000,260.0,4.333333333333333
Atlanta 2025,M,5221.5,5229.716,679.97624593734,1000,421.5,7.025
Atlanta 2025,W,5629.0,5624.7612403100775,702.444314044796,645,103.0,1.7166666666666666
Bordeaux 2025,M,4323.0,4273.867,267.58864137326833,1000,-477.0,-7.95
Bordeaux 2025,W,5377.0,5351.572,531.0670551192495,1000,-149.0,-2.4833333333333334
Chicago 2025,M,5044.0,5005.626,502.7702557372036,1000,244.0,4.066666666666666
Chicago 2025,W,5477.0,5526.123,727.4578880250409,1000,-49.0,-0.8166666666666667
Dublin 2025,M,4335.5,4298.927,323.6803154620584,1000,-464.5,-7.741666666666666
Dublin 2025,W,5238.0,5224.896,582.30420689995,1000,-288.0,-4.8
Frankfurt 2025,M,4715.5,4652.459,392.40270412065126,1000,-84.5,-1.4083333333333334
Frankfurt 2025,W,5473.0,5574.128,763.7590939357585,1000,-53.0,-0.8833333333333333
London Excel 2025,M,4046.0,4003.153,214.17454173016264,1000,-754.0,-12.566666666666666
London Excel 2025,W,4739.0,4694.495,309.5696324453246,1000,-787.0,-13.116666666666667
Maastricht 2025,M,4800.0,4750.948,413.14473961539653,1000,0.0,0.0
Maastricht 2025,W,5526.0,5510.042666666666,621.5349497584588,750,0.0,0.0
Utrecht 2025,M,4820.0,4769.085,395.62935224697065,1000,20.0,0.3333333333333333
Utrecht 2025,W,5565.0,5556.899713467049,634.5109878153859,698,39.0,0.65
Valencia 2025,M,4671.5,4654.837,441.03171473761824,1000,-128.5,-2.1416666666666666
Valencia 2025,W,5390.0,5409.916666666667,640.0837188295882,564,-136.0,-2.2666666666666666
